TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
31,900000000023283;165,80000000004657;604,6000000000931;305;161,5;65;798,023
33,300000000046566;161,10000000009313;585;294,30000000004657;153,80000000004657;66;798,623
32,59999999997672;161,90000000002328;603;300,79999999993015;159,29999999993015;65;798,023
40;174,40000000002328;605,5;307,5999999999767;167,30000000004657;65;795,907
30,400000000023283;161,20000000006985;605,1000000000931;299;157,90000000002328;65;798,023
30,199999999953434;167,5;597,0999999999767;299;158,19999999995343;65;760,448
31,599999999976717;170,59999999997672;607,2000000000698;301,30000000004657;157,09999999997672;65;798
32;168,79999999993015;600,3999999999069;299;158,69999999995343;65;798,023
29,899999999906868;162,09999999997672;605,8999999999069;300,79999999993015;157,69999999995343;65;798,023
30;165,59999999997672;594,0999999999767;299,79999999993015;159,19999999995343;65;798,023
