TTFB;FCP;LCP;Duration;DomInteractive;NumberOfRequests;TotallyTransferredKBytes
32,800000000046566;97,90000000002328;337,80000000004657;126,40000000002328;94,59999999997672;65;832,401
29,699999999953434;101,5;333,39999999990687;131,19999999995343;97,79999999993015;65;832,405
30;100,60000000009313;434,4000000000233;187,20000000006985;99,20000000006985;64;831,8
31,300000000046566;112,80000000004657;333,30000000004657;136,90000000002328;103;65;834,459
31,099999999976717;100,80000000004657;332,4000000000233;133,40000000002328;99,20000000006985;65;832,355
29,599999999976717;93,30000000004657;341,80000000004657;123,59999999997672;92,40000000002328;65;834,518
44,5;109,69999999995343;347,9000000000233;135,80000000004657;104,19999999995343;65;834,522
30,5;96,90000000002328;338,5;130,30000000004657;95;65;834,518
35,60000000009313;92,5;319,80000000004657;125,60000000009313;91,5;65;834,465
28,899999999906868;99,09999999997672;335,29999999993015;132,19999999995343;97,59999999997672;65;834,46
